datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,2.2,0.8,90.39,2.97,,19.8,988.5,51.7,44
2018-01-02,2.2,1,92.06,4.35,,40.6,993.7,50.9,28.1
2018-01-03,2.9,1.4,90.46,6.26,50,29.7,982.1,46.8,25.1
2018-01-04,3.3,2,91.48,3.22,13,29.7,988.4,76.5,22.2
2018-01-05,3,1.8,92.02,8.78,,31.7,993.6,69.3,30
2018-01-06,1.8,-1.4,79.3,3.17,44.6,35.3,1018.7,85.2,23.6
2018-01-07,-1.1,-4.6,77.24,0,,20.4,1031.9,6.7,35.3
2018-01-08,2.2,-1.2,78.86,0,,44.8,1027.2,49.2,25.2
2018-01-09,4.8,3.5,91.36,0.2,48.2,36.5,1008.6,98.9,9.2
2018-01-10,4.4,3.9,96.74,1.59,,31.4,1004.3,92.2,10.7
2018-01-11,4.6,3.3,91.47,0.21,,22.6,1020.3,60.7,34.2
2018-01-12,5,4.4,95.91,0.2,40.7,38.3,1024.6,73.4,10.9
2018-01-13,5.3,3.5,88.35,0.22,53.6,47.2,1018.1,89.6,11.9
2018-01-14,4.7,3.5,91.87,0.6,79.6,68.3,1008.5,92.3,7.2
2018-01-15,4,2.7,91.06,0.92,67.8,54.1,984,41.4,34.6
2018-01-16,-0.2,-1.7,89.34,0.2,50.8,38,979,26.3,43.6
2018-01-17,0.7,-2.2,81.18,11,98.3,40.2,988.4,23,42.8
2018-01-18,0.4,-2.4,81.85,10,,17.8,992.6,29.2,39.8
2018-01-19,-0.4,-1.9,89.48,0.4,50,30.6,997.1,56.9,44.1
2018-01-20,-0.8,-3.4,82.99,10.2,,25.9,1000.4,15.2,41.6
2018-01-21,0.7,-1.4,86.42,0.41,61.2,57.3,1005.8,60.6,32.5
2018-01-22,3.2,2,91.77,1.24,48.2,36.1,1001.8,59.2,18.8
2018-01-23,6.3,5.1,92.13,0.98,90.7,53,998.6,53.1,22.9
2018-01-24,5.3,3.1,85.92,6.13,91.2,78.6,985.1,41.4,22.9
2018-01-25,3.4,1.6,88.36,0.4,55.4,39.5,998.1,46.6,22.3
2018-01-26,3.3,1.7,89.21,0.4,,29.4,1017.4,51.4,31.7
2018-01-27,5.9,3.8,86.71,2.52,71.8,49.5,1008.6,49.9,16.3
2018-01-28,6.7,4.3,85.17,0.43,77.8,64.4,1012,59.2,19.7
2018-01-29,4.9,1.2,77.42,3.48,64.5,64.4,1015.6,28.9,40.1
2018-01-30,3.6,2,89.17,0,55.5,54.9,1014.1,71.2,29.5
2018-01-31,2.5,-0.1,83.18,0.8,83.5,49.3,989.2,35.4,38
2018-02-01,3.6,0.8,81.73,4.21,67.6,67.5,995.9,42.5,23
2018-02-02,3.4,1.1,85.03,4.89,48.2,54.1,1009.5,47.5,28.2
2018-02-03,1.7,0,88.58,3.92,,15.1,1008.2,94.7,39.1
2018-02-04,2.8,1.4,90.49,1.03,,14.4,1029.5,59.3,35.2
2018-02-05,2,-0.9,81.42,0.4,55.4,32.3,1027.9,84.3,31.7
2018-02-06,0.7,-1.8,83.87,1.17,,34.8,1017.3,65.5,29.7
2018-02-07,-0.1,-3.5,78.09,0,55.4,34.9,1016.6,44.7,35.4
2018-02-08,4,2.9,92.79,0.2,50,35.4,1004.8,78.6,20.8
2018-02-09,1.9,-2,76.6,0,,29.7,1005.1,33.9,37.9
2018-02-10,3,1.8,91.96,1.98,53.4,54.6,997.9,78.1,16.3
2018-02-11,1.4,-2.9,73.46,3.82,50,37.8,994.3,39.7,36.7
2018-02-12,0.6,-2.5,80.12,0,49.5,35.9,1002.4,14.8,38.9
2018-02-13,1.9,0.1,88.19,10.73,48.2,54.2,995.1,55.5,24.9
2018-02-14,2.2,0.6,89.51,2.29,76,68.9,993,61.5,12.8
2018-02-15,2.9,0.5,84.73,0.51,70.6,49.9,995,57.9,27.3
2018-02-16,3.1,1.2,87.4,0,79.6,48.1,1013.5,56.7,31
2018-02-17,4.1,2.2,87.92,0.2,35.3,50.3,1014.9,61.5,28.6
2018-02-18,2.9,1.8,92.84,0.26,,16.7,1017.4,58.2,22.5
2018-02-19,5,4.9,99.37,6.11,,14.8,1015.4,72.1,2.5
2018-02-20,5.2,2.8,85.46,4.8,81.7,35.5,1023.1,23.1,21.3
2018-02-21,2.9,0.7,86.05,0.2,,19.5,1029.3,16.2,13.9
2018-02-22,3.2,1.6,89.35,0.2,61.2,33.6,1024.6,54.5,16.2
2018-02-23,2.4,-0.5,81.73,0,83.5,43.2,1022.7,47.3,14.6
2018-02-24,3.5,-0.1,77.31,0,87.1,45.1,1026.8,80.8,15.8
2018-02-25,2.9,-1,75.74,0,57.6,34,1032.9,93.7,22.3
2018-02-26,1.3,-2.8,74.4,1.29,,36,1037.8,82.8,34.1
2018-02-27,-0.2,-3.2,80.94,2.62,66.5,46.2,1032.1,66.7,25.6
2018-02-28,-2.9,-7.8,69.93,0,76,62,1029.6,53.9,16.7
2018-03-01,-2.1,-4.1,86.52,20,81.7,61.1,1020.8,60.9,7.1
2018-03-02,0,-2.9,81.18,30.4,72.4,58.4,1009.9,88.8,9.6
2018-03-03,0.4,-2.1,83.26,70.8,67,48.7,1002.3,85,11.4
2018-03-04,1.2,-0.6,88.04,92.2,76,36.8,995.5,93.2,8
2018-03-05,2.5,2.2,97.64,20.43,54.8,38,991,96.8,4.3
2018-03-06,3.3,2.9,97.27,21.05,59.4,51.2,988.9,69,4
2018-03-07,3.3,2.6,95.27,19.24,,27,989.1,78.4,10
2018-03-08,3,1.6,90.81,0.2,48.2,20.4,991,39.3,18.5
2018-03-09,3.4,0.2,80.4,0.6,50,30.1,996.9,33.3,35.6
2018-03-10,3.1,2.6,96.61,5.47,51.8,41.3,996.1,69.4,10.3
2018-03-11,3.8,3.5,97.28,6.22,,17.5,992.5,59.7,14.9
2018-03-12,3.9,3.1,94.71,0.2,,15.1,995.1,93.7,22.5
2018-03-13,3.6,2.5,92.34,1.19,,15.2,1004.7,85.2,19.1
2018-03-14,4.6,3.5,92.92,0.4,85.3,44.9,1001.9,62.1,10.4
2018-03-15,3.9,2.5,90.76,0.6,76.8,59.1,997.5,96.2,6.4
2018-03-16,2.3,1.1,92.29,13.88,75.2,55.9,1008.6,93.2,6.5
2018-03-17,0.3,-4.8,68.96,0.77,64.8,50,1023.3,83.3,14.6
2018-03-18,0.7,-4.1,70.76,11.6,72.4,50.9,1025.4,85,15.3
2018-03-19,1.8,-2.3,74.43,0,46.4,31.3,1026.6,31.7,34.5
2018-03-20,3.8,-2.5,64.4,0,55.4,32.7,1029.8,14.2,36.9
2018-03-21,4.5,1.5,81.46,0.79,59.4,46.9,1021.2,49.7,39.9
2018-03-22,7,3.9,81.71,0,53.2,41.3,1009.4,61.5,27.3
2018-03-23,5.3,3.3,87.97,7.57,66.1,42.4,989.4,41.3,22.6
2018-03-24,5.1,0.2,71.91,0,,21.5,1000.7,31.1,38.4
2018-03-25,4.8,0.7,75.75,0.2,,21.9,1008.3,34.3,40.6
2018-03-26,4.2,0.6,77.64,0.2,,20.5,1013.6,12.9,36.7
2018-03-27,4.3,4.1,97.88,7.08,53.6,44,1002.2,62.1,6.1
2018-03-28,4,2.3,89.19,3.93,,17,999,77.5,25.1
2018-03-29,2.4,1.3,92.01,1.58,37.1,29.6,1002.1,59.5,18.5
2018-03-30,2.6,2,96,10.17,55.4,43.3,1004,87.7,11.2
2018-03-31,2,0.9,92.84,5.49,74.2,40.5,1008.6,81.9,14.1
2018-04-01,1.9,-1.7,77.62,0.4,,23.7,1013.6,50.4,38.3
2018-04-02,1.6,-0.3,87.73,1.7,53.6,42.9,1005.1,69.1,30.2
2018-04-03,2.3,1.8,96.67,11.75,53.6,42.6,991.5,84.4,15.6
2018-04-04,1.4,0.8,96.01,11.46,46.4,40.4,996,82.9,18.4
2018-04-05,3.7,-1.5,69.37,0.4,64.8,27.5,1009.4,32.6,41.4
2018-04-06,4.7,3.1,89.59,0,96.5,47.4,1009.3,89.2,18.8
2018-04-07,6.7,5.5,92.28,0.79,55.4,37.6,1004.6,39.9,10.5
2018-04-08,8.2,5.6,85.2,2.18,,16.2,1006.8,49.7,22.9
2018-04-09,6.5,3.6,82.46,0.2,,17.6,1008.5,50.6,32.1
2018-04-10,4.3,4.3,99.21,7.64,50,39.2,1013.4,63.9,1.7
2018-04-11,5.3,4.3,93.67,3.86,40.7,24.2,1016.5,85.4,7.1
2018-04-12,5.1,4.1,93.21,0.2,,31.8,1014.1,68,7.8
2018-04-13,5.2,4.7,96.84,2.25,,30.4,1009.5,92.8,4.6
2018-04-14,7.3,6.1,92.9,0.2,,24.9,1013.6,45.6,6.7
2018-04-15,7,5.4,89.59,0.2,46.4,21.3,1010.5,10.5,8
2018-04-16,7.3,6.4,93.08,1.8,50,36.4,1006.1,31.3,9.9
2018-04-17,8,6.5,90.25,2.66,74.2,58.9,1007.7,68.7,11.2
2018-04-18,9.5,8,90.54,0.4,50,32,1019.7,48.1,15.6
2018-04-19,12,9,82.42,0,46.4,30.4,1020.9,15.2,20.2
2018-04-20,11.5,6.5,73.32,0,53.6,35.9,1021,24.4,35.7
2018-04-21,7.7,5.2,84.32,0,40.7,24.2,1019.1,16.6,28
2018-04-22,9,6.8,87.08,0.97,57.6,39.9,1003.4,75.7,19.2
2018-04-23,9.1,5.7,80.6,1.6,79.6,39.8,1002.4,56.7,37.4
2018-04-24,9.3,4.2,71.82,0,87.1,35.6,1002.9,40.5,39
2018-04-25,7.3,3.4,76.98,4.18,53.6,34.1,1001.8,46.9,39
2018-04-26,8.1,3,71.42,1,55.4,39.3,1002.9,49.6,40.1
2018-04-27,5.8,3.2,83.46,6.96,,15.2,1008.8,87.3,36.7
2018-04-28,5.9,4.1,88.47,0.6,,18.8,1014.5,75.1,32.7
2018-04-29,5.2,2.6,83.9,1.57,,23.8,1018,38.9,30.4
2018-04-30,5,1.9,81.54,0,,33.8,1013.8,12.6,29.3
2018-05-01,5.5,2.9,84.46,0,51.8,43.3,1000.9,39.5,23.1
2018-05-02,6.3,4.7,89.47,10.01,51.8,44.6,996.8,74.6,18.4
2018-05-03,7.1,4.1,81.35,1.2,77.8,44.2,1010.7,62.7,28.1
2018-05-04,10.9,8.8,87.45,0.2,46.4,44.9,1016.5,66,28.6
2018-05-05,12,9.8,86.84,0,53.6,37.9,1020.8,60.5,21.2
2018-05-06,11.7,9.4,86.03,0,53.6,24,1020.9,22.6,17.9
2018-05-07,10.4,8.2,86.47,0.2,,34.4,1017.4,62.4,23.6
2018-05-08,12.3,8.5,77.96,0.53,,30.2,1006.4,56.8,24.4
2018-05-09,8.2,6.3,87.72,0.98,53.6,40.6,1004.2,39.4,21.5
2018-05-10,9.5,4.6,73.9,3.15,53.6,30.2,1008.4,31.6,27.7
2018-05-11,8.2,6,86.72,0,57.6,48.3,1013.3,37,16.7
2018-05-12,9.4,7.4,88.16,1.82,,35.2,1012.8,56.4,14.7
2018-05-13,9.1,8.6,96.64,10.33,,13.4,1013.7,52.3,13.1
2018-05-14,10.2,6.2,76.99,0.2,,15,1021.5,3,32.8
2018-05-15,11.4,8,79.88,0.2,35.3,31.3,1021.6,29.2,30.2
2018-05-16,8.7,3.3,69.57,0,,37.9,1030.2,41.5,31.8
2018-05-17,7.7,4.4,80.14,0,,14.2,1030.3,16,27.3
2018-05-18,8.6,5.7,82.45,0,,24.8,1024.9,28,22.6
2018-05-19,10.7,7.4,79.92,0,46.4,32.5,1021.2,1,25.3
2018-05-20,11.1,7.8,79.91,0.2,46.4,39.9,1018,76,18.9
2018-05-21,9.7,8.4,91.34,0,61.2,39.3,1019.3,54.6,12.7
2018-05-22,8.3,6.6,89.24,0,,37.5,1025.1,95.2,27.7
2018-05-23,8.2,6.4,88.44,0,,18.4,1028.7,95.9,26.8
2018-05-24,7.9,6.9,93.32,0,,18.2,1027.5,79.9,7.5
2018-05-25,13.2,8,71.71,0,51.8,39.3,1026.6,16.7,26.7
2018-05-26,11.9,8.9,82.12,0,,35.8,1029.9,18.6,15.7
2018-05-27,11.7,8.2,79.67,0,,32.5,1025.7,16.9,20.6
2018-05-28,13.1,11.3,88.99,0,,13.5,1023.4,14.9,14
2018-05-29,12.4,10.8,90.21,0.4,,30.2,1024.8,37.2,14.7
2018-05-30,14.3,12.1,87.42,0,48.2,36,1017.5,66,17.1
2018-05-31,12,11.7,97.75,0.2,,24.8,1016.5,51.1,2.5
2018-06-01,13.1,11.9,91.88,0.4,,16.7,1017.6,34.4,10
2018-06-02,15.4,12.8,84.92,2,,13.2,1017.6,40,17.4
2018-06-03,12.3,11.7,95.95,0,,18.3,1020.1,70.9,5.4
2018-06-04,11.3,9.9,90.98,0,,30.9,1020.7,79.6,17.5
2018-06-05,10.7,7,78.51,0,0,38.6,1021.1,22.9,20.8
2018-06-06,10.2,7.5,83.51,0,0,29,1019.2,30.8,16.4
2018-06-07,10.7,8.5,87.39,0,,37.3,1019.7,23.5,18.8
2018-06-08,10.5,7.8,83.56,0,,25.4,1020,66.1,31.6
2018-06-09,10.1,8.9,92.42,0,,11.3,1018,96.1,12.2
2018-06-10,10.4,10.2,97.89,5.21,,13.2,1016.3,63,5.8
2018-06-11,10.7,9.6,93.36,0.8,,15.5,1017.1,88.4,15.5
2018-06-12,10.6,8.3,85.7,0,,20.7,1018.9,74.3,34
2018-06-13,11.6,9,84.22,0.47,53.6,37.8,1011.5,86.2,28.8
2018-06-14,13.3,8.7,75.95,2.8,79,56.1,994.6,48,23.4
2018-06-15,11.9,7.3,74.13,4,48.2,36.9,1009.2,49.4,35
2018-06-16,10.1,9,92.75,9.7,,25.3,1008.5,78.6,19.3
2018-06-17,11.7,9.4,86.64,0.73,,29.2,1007.4,59.2,30.3
2018-06-18,13.4,7.3,68.06,0.2,88.7,53.7,1007.9,50.6,31.3
2018-06-19,11.3,5.4,68.09,0,107.6,36.4,1014.6,57.6,29.6
2018-06-20,9.9,8.6,91.96,15.34,,29.4,1013.4,74.4,16.8
2018-06-21,10.8,4.3,66.53,1.86,61,45,1022.2,43,39.6
2018-06-22,11.7,5.6,66.49,0,50,32.6,1028.9,58.5,36.9
2018-06-23,12.7,7.9,73.01,0,,20,1026.1,56.9,38.7
2018-06-24,12.8,10.3,84.86,0,,24.6,1024.2,20.8,30.1
2018-06-25,13.1,9,77.77,0,,23.9,1026.3,0.1,26.2
2018-06-26,10.8,9.7,93.21,0,,16.7,1028.4,58.8,8
2018-06-27,11.5,10.6,93.96,0,,19.8,1028.7,48.2,3.6
2018-06-28,15.9,11.7,77.75,0,,23.1,1027.8,2.3,25.6
2018-06-29,11.6,10.8,94.76,0,,22.7,1027.5,49.5,9.8
2018-06-30,12.5,10.2,85.95,0,,15.3,1022.3,34.8,20.9
2018-07-01,14.6,12.4,87.09,0,,17.1,1019.7,29.7,17.7
2018-07-02,12.8,10.4,85.19,0,,27,1023.9,6,27.5
2018-07-03,13.8,9.6,77.1,0,,13.6,1022.9,10.7,29.4
2018-07-04,14.9,11.7,81.4,0,,23.4,1016,22.4,36.3
2018-07-05,14.4,10.2,76.75,0,,26.5,1015.6,59,33
2018-07-06,13.7,10.8,82.79,0,,23.3,1020.6,50.3,22.5
2018-07-07,14,12,87.94,0,,18.5,1023.9,40.3,16.8
2018-07-08,16.8,12.9,79.6,0.65,48.2,34.3,1025.2,63.4,31.8
2018-07-09,12.5,10.1,85.62,0.78,,18.8,1029.1,87.8,27.8
2018-07-10,13.5,11.4,87.13,0.6,,12.8,1027,91.4,30.5
2018-07-11,14.2,12.5,90.1,1.69,,11.2,1024.2,89.7,13.8
2018-07-12,13.6,11.8,89.17,0.76,,15.4,1023.8,87.8,27.7
2018-07-13,14.7,12.4,86.53,0.6,,21.9,1021.9,73.6,28.3
2018-07-14,17,12.6,76.56,0,50,23.6,1016.1,26.5,22.9
2018-07-15,17.5,13.7,78.82,0,44.6,25,1012.4,57.5,25.1
2018-07-16,16.2,13.5,85.13,0.6,,17.9,1010.8,68.7,21.1
2018-07-17,14.5,11.2,80.5,1.49,31.7,20.4,1012,84.1,33.8
2018-07-18,14,10.7,80.99,0.76,,17.4,1016.6,73.1,30.3
2018-07-19,15.5,12.1,80.93,0,,25.8,1017.3,55.1,20.9
2018-07-20,13.7,12.2,91.43,4.8,,23.1,1012.2,83.4,18.5
2018-07-21,14.6,13.8,95.1,0.4,,18.9,1012.2,90,5.3
2018-07-22,19.2,14.7,76.47,0,59.4,32.1,1010.7,57.2,35.1
2018-07-23,18.4,15,81.88,2,51.8,26.7,1011,67.7,31.4
2018-07-24,16.1,12.4,80.28,4.24,,24.4,1011.6,43.2,29.4
2018-07-25,14.9,9.9,72.32,0,,24.2,1016.6,9.9,36.7
2018-07-26,16,14,88,0,42.5,27.2,1014.3,36.4,19.7
2018-07-27,17.7,16.3,91.93,2.12,53.6,28.7,1008.8,51.6,7.7
2018-07-28,15.2,13.9,92.13,15.57,64.5,57.5,998.5,64.6,8.3
2018-07-29,13,11.9,92.9,9.82,58.1,51.6,996.9,48.4,10.3
2018-07-30,13.5,12,90.87,3.19,46.5,33.1,1004.8,47.9,18
2018-07-31,13.6,11.5,87.94,11.37,74.2,40.2,1009.1,54.8,20.8
2018-08-01,14.5,12.3,87.4,0.8,,36.1,1014.8,70.8,14.8
2018-08-02,17.3,15,87.94,2,53.6,34.3,1016.9,67.5,17.6
2018-08-03,17.7,15.7,89.27,5.81,46.4,34.9,1019.1,52.5,22.1
2018-08-04,15.8,12.2,80.69,15,48.2,29.2,1022.1,84.3,35.6
2018-08-05,15.3,12,81.51,0.2,48.2,29.7,1019.9,76.1,32.3
2018-08-06,16.6,13.4,82.42,0.84,50,29.7,1010.8,58.8,27.9
2018-08-07,14,11.3,84.56,0.4,55.4,24.3,1006.6,61.5,32.6
2018-08-08,13.2,9.3,77.34,2.11,50,31.3,1005,37.6,36.6
2018-08-09,12,8,77.32,0.2,37.1,29.6,1010.8,34.8,34.4
2018-08-10,12,8.2,78.04,0.95,,13,1012.9,50.4,38.5
2018-08-11,12.7,9.6,82.38,0,,17.4,1017.3,72.8,37.3
2018-08-12,12.8,11.9,94.24,4.75,,30,1010.4,90,19.3
2018-08-13,13.4,12.2,92.47,11.18,,30.2,1008.7,90.7,15.8
2018-08-14,15.3,12.9,85.75,2.42,46.4,33.1,1009.1,65.2,29.3
2018-08-15,15.6,12.4,82.22,0.4,63.9,41.4,1006.2,71,34.1
2018-08-16,14.3,9.6,74.75,0.83,61.2,41.6,1004.1,29.9,33.5
2018-08-17,13,10.1,83.34,0,55.4,45.4,1008.5,66.3,33.6
2018-08-18,15.3,10.3,72.6,0.4,55.4,49.5,1009.3,70.4,27.1
2018-08-19,12.4,11.2,92.65,8.17,,26.5,1014.7,89.8,14.6
2018-08-20,12.5,11.4,93.61,1,,14.6,1019,84.9,17
2018-08-21,13.3,12.8,97.11,0.99,74.2,37.4,1016.3,66.9,9.4
2018-08-22,14,13.3,95.45,2.17,79.6,37.3,1009.8,70.4,13.7
2018-08-23,11,8.6,85.75,1.08,50,27.8,1007,56,27.5
2018-08-24,10.2,6.9,80.34,5,,24,1004.9,58.2,41.5
2018-08-25,10.9,6.3,74.63,1.2,,32.6,1011.1,31.3,40.2
2018-08-26,10.4,9.1,91.61,3.93,,33.7,1004.1,81.2,23
2018-08-27,12.8,9.5,81.48,0.98,,21,1002.6,63.9,30.3
2018-08-28,12.3,9.9,85.69,0,51.8,35,1011.7,42.3,31.2
2018-08-29,13.9,7.8,69.1,0.2,,25.1,1012.7,46.7,31.5
2018-08-30,11,6.3,73.05,0,,16.2,1022.8,64.1,34.1
2018-08-31,11.5,9.5,87.99,0.2,,36.9,1023,17.8,17.9
2018-09-01,13.6,11.7,88.51,0,,25.7,1020.5,67,20.9
2018-09-02,14.9,13.7,92.71,0,50,29.2,1019.6,72.3,16.4
2018-09-03,11.5,10.5,93.2,3.87,,27.4,1023.4,89.5,20.3
2018-09-04,10.7,8.5,86.78,0,,23,1024.5,71.6,23
2018-09-05,10.8,9.4,91.63,0.4,63,23.5,1021.9,40.1,15.9
2018-09-06,9.9,6.7,81.04,5.34,,22.7,1014.9,76.9,37.2
2018-09-07,12.2,9.2,82.64,1.42,,30.6,1010.1,79.4,36.2
2018-09-08,12.1,8.6,79.86,0.6,48.2,21.5,1009.5,52.4,36
2018-09-09,12.8,9.5,81.72,2.91,55.4,44.1,1006.4,50.9,28.6
2018-09-10,11.7,9,84.32,0.58,66.6,40.9,1008.6,65.3,29.7
2018-09-11,12.9,8.1,73.82,3.86,71.6,50,1006,54.1,26.6
2018-09-12,11.6,5.3,66.36,0,57.6,39.3,1014.8,34.5,37.2
2018-09-13,11.2,7,76.32,0.23,56.5,39.3,1013.4,79,31.7
2018-09-14,11,6.9,77.01,0.2,51.8,36.4,1010.4,59.3,34.7
2018-09-15,9.7,5.8,77.36,0,,24,1016.6,23.4,30.8
2018-09-16,13,9.8,81.87,5,73.6,53.6,1006.2,76.1,24.3
2018-09-17,13,10.4,84.5,0,55.4,37.1,1009.7,52.8,12.3
2018-09-18,14.7,12.5,87.28,3.9,68.4,48.7,994.7,67,14.9
2018-09-19,11.7,8.1,78.77,4.94,115.9,88.9,993.2,38.4,23.3
2018-09-20,9.8,5.6,75.55,0.2,88.3,61.3,999.7,34.2,32.7
2018-09-21,8.4,4.5,77.19,2.72,68.9,48.6,995.5,56.4,33.2
2018-09-22,8.9,3.6,70.59,0,55.4,34.7,1009.8,31.3,40.4
2018-09-23,7.5,3.4,75.76,0.48,,31.3,1019.5,44.9,39.6
2018-09-24,9.2,2.8,65.21,0.6,,31.5,1032.2,52.1,39.9
2018-09-25,9.9,6.7,80.63,0.2,73.1,53.9,1027.4,68.7,38.3
2018-09-26,16.1,12.6,80.16,0,96.3,64.1,1018.4,55.3,43.2
2018-09-27,11.5,8.1,80.22,1.68,64.6,42.6,1020.4,33.7,38.6
2018-09-28,8.9,3.3,68.72,0,48.2,29,1030.2,50.6,38.8
2018-09-29,9.2,5.3,77.19,0,64.8,45.1,1019.6,45,42.4
2018-09-30,8.4,3.9,74.4,0.78,58.4,39.1,1014.1,24.8,25.1
2018-10-01,6.6,2.9,77.76,4.83,59.4,41.5,1020.4,63.1,20.5
2018-10-02,10.4,3.9,65.99,1.91,78.1,45.4,1011.6,38.9,27.4
2018-10-03,8.5,6.1,85.54,0.98,55.4,29.5,1019.5,76.5,23.7
2018-10-04,12.3,9.8,85.28,1.19,58.3,45.9,1014,66.5,40.4
2018-10-05,7.5,2.9,74.38,0,,16.7,1014.4,39.1,35.6
2018-10-06,6.5,1.6,71.7,0,,21.9,1015.9,20.1,39.8
2018-10-07,7.4,5.4,87.39,0.52,68,51.2,1012.5,74,34.7
2018-10-08,12.5,10.8,89.56,3.68,71.2,44.2,1006.1,83.4,26.2
2018-10-09,12.9,11.3,89.92,1.97,64.8,47.1,1005,83.8,20.4
2018-10-10,12.5,11,90.86,0,55.4,34.6,1011.4,43.8,11.8
2018-10-11,12,11.6,97.3,5.73,61.2,47.8,1001.3,82.2,4.3
2018-10-12,11,10.4,96.19,17.41,94.1,71.3,995.2,62.1,10.1
2018-10-13,11.6,10.9,95.42,14.51,57.6,37,998.6,77.4,6.2
2018-10-14,8.5,6.2,85.31,1.11,53.6,37.8,1006.1,48.7,40.6
2018-10-15,7.3,5.1,86.68,0.2,,29.9,1014.6,36.2,36.1
2018-10-16,10.3,8.8,90.96,0.4,63.1,42.5,1009.7,73.6,25.4
2018-10-17,9.2,6.8,84.89,0.8,50,27.4,1015.6,22.3,29.8
2018-10-18,6.7,3.5,80.6,0,,22.1,1026.7,15.8,35.1
2018-10-19,8.8,5.8,81.28,0,48.2,42.4,1021.4,72.7,35
2018-10-20,10.9,9.2,89.54,0,59,40.4,1022.9,64.6,25.4
2018-10-21,11.5,8.9,84.97,3.08,61.2,39.1,1021.4,64.4,26.3
2018-10-22,8.2,3.6,73.13,0,78.9,52.2,1028,17.7,27.6
2018-10-23,13.4,9.1,75.15,0,94.8,54.2,1018.9,74.6,38
2018-10-24,12.4,8.1,75.41,0,59.4,30.7,1021.6,55.8,43.3
2018-10-25,10.2,7,80.98,0.38,50,39.8,1014.8,67.8,40.3
2018-10-26,4.4,2.4,87.2,7.47,54.6,45.6,1009.8,48.5,30.5
2018-10-27,3.1,1.1,86.83,11.33,50,42.4,1018.9,34.8,24.2
2018-10-28,4.1,1.7,84.7,0.98,,27.5,1025.7,27,36.9
2018-10-29,5.1,1.4,77.45,1.93,,37.9,1013.6,49.9,28.8
2018-10-30,5.2,1.9,79.17,7.6,50,35.7,1001.3,55.3,24
2018-10-31,4.7,2.7,86.67,0.52,68.4,43,1000.7,48.8,30.9
2018-11-01,5,3.1,88.23,7.69,,31.6,1003.7,39.7,33.5
2018-11-02,5.6,1.8,76.6,0.4,53.6,48.2,1017,28.4,38.1
2018-11-03,10.4,9,90.93,2.06,68.4,56.6,1005.9,89,13.7
2018-11-04,10,8.5,90.63,2.16,74.2,51.4,1003.1,57.4,11.5
2018-11-05,9.5,9,96.47,1.39,,27,1004.7,73.3,4
2018-11-06,9.9,9.7,98.7,1.16,50,51,996.1,82.4,2.2
2018-11-07,10,9.6,96.94,2.13,57.6,55.3,992.9,87.4,11.4
2018-11-08,7.2,6,92.58,3.39,53.6,52.3,1006.2,40,22.3
2018-11-09,9.1,7.5,89.7,3.02,67.7,69.2,999.6,87.1,10.7
2018-11-10,9.1,7.8,91.63,7.82,68,67.1,986.3,51.5,11.1
2018-11-11,7.1,6.2,94,7.25,,33.1,992,51.4,23.5
2018-11-12,8.8,7.2,89.59,0.2,,40.1,999,52.6,19.5
2018-11-13,8.2,6.1,86.93,0.2,50,32.3,1007.4,38.7,32.5
2018-11-14,10.6,9.8,94.55,0.59,64.8,46.3,1009.7,89.3,12.6
2018-11-15,10.5,8.7,88.97,0,50,43.2,1013.6,77.5,19
2018-11-16,9,8.5,96.83,0,,26,1024.3,42.1,13
2018-11-17,8,6.1,87.97,0,,28,1032.2,98,12.9
2018-11-18,7.9,5.7,86.27,0.2,,22.6,1035.3,87.3,17.2
2018-11-19,7.2,3.7,79.08,0.8,50,37.5,1032,91,22.7
2018-11-20,6,3.6,84.43,2.65,72.4,50.5,1024.5,68.1,18.7
2018-11-21,6.7,4.6,86.9,14.14,67.8,69,1018.1,72.5,10.9
2018-11-22,6.8,5.8,93.23,5.6,,30.6,1022.1,78.5,11.4
2018-11-23,6.7,5.3,91.36,8.87,,31.9,1018.5,75.2,21.3
2018-11-24,5.2,4.3,94.09,7.59,35.3,20.4,1017.5,75.2,27.1
2018-11-25,5.2,1.8,78.76,2.27,53.6,40.1,1019.3,83.4,28.1
2018-11-26,4.4,1.6,82.33,6.29,,32.9,1019.7,73.3,30.9
2018-11-27,6,3.8,86.39,6.56,59.1,64.3,1012.8,79.3,22
2018-11-28,8.7,8,95.38,7.54,73,81.5,992.5,85.9,9
2018-11-29,8,6.3,89.13,16.03,64.6,74.6,985.1,58.6,15.1
2018-11-30,5.4,3,84.32,3,69.2,53.4,989,33.6,30.7
2018-12-01,3.9,2.7,92.07,0.2,50,33.1,997.2,69.9,19.8
2018-12-02,4.5,4.2,97.47,1.3,,11.9,988.4,80.6,19.4
2018-12-03,4,1.6,84.91,2.43,44.6,39.8,995,34.8,37
2018-12-04,0.8,-1.5,84.34,0.4,,14.3,1015.9,28.1,44
2018-12-05,2.9,1.1,88.48,0.8,,26.4,1014.1,48.5,34.3
2018-12-06,7.1,6.1,93.95,1.04,51,34.5,1002.3,57.5,13.8
2018-12-07,6.4,4.6,88.06,1.21,69.5,57,985.5,51.3,24.6
2018-12-08,6.9,3.5,79.07,1,63.8,42.2,984.4,45.2,44.2
2018-12-09,3.8,0.8,81.22,1.28,,33.4,1004.8,40.9,29.4
